rate,fico
11.91,667
2.84,687
20.34,692
10.02,692
2.46,772
17.35,667
11.14,672
1.11,662
2.21,707
1.11,787
1.11,762
3.46,672
11.14,717
1.67,762
11.14,712
12.97,682
11.91,712
2.84,687
2.84,722
2.21,732
19.37,687
18.4,677
2.21,817
3.46,707
2.84,697
18.4,662
3.46,717
11.14,672
2.84,707
1.67,707
11.14,727
2.21,747
9.47,672
8.56,687
11.14,667
11.91,747
9.47,662
11.91,692
11.91,667
19.37,687
18.4,682
3.46,722
11.14,662
3.46,722
9.47,702
2.84,747
2.84,692
3.46,732
9.47,697
11.91,662
10.02,662
11.14,707
1.11,727
11.14,662
22.27,677
10.02,772
10.02,692
3.46,772
19.37,707
10.02,682
2.21,742
17.35,692
11.14,667
1.11,712
13.94,682
11.91,672
2.21,762
14.92,677
2.84,717
1.67,722
1.11,702
1.11,767
13.94,687
1.11,717
11.91,712
2.84,797
2.21,692
2.84,722
11.91,672
19.37,697
19.37,682
21.31,672
11.14,677
3.46,662
22.27,702
3.46,697
3.46,712
9.47,692
10.02,662
1.11,707
1.11,737
2.84,697
1.67,712
9.47,682
10.02,697
3.46,677
8.56,677
1.11,797
9.47,692
19.37,692
10.02,662
2.21,692
1.67,697
2.84,802
1.11,687
1.67,677
22.27,712
2.21,752
3.46,777
11.91,682
3.46,707
2.21,702
12.97,687
18.4,667
1.67,767
5.08,792
9.47,677
2.84,682
12.97,662
11.14,672
6.55,752
14.92,692
21.31,682
11.14,692
13.94,677
8.56,712
17.35,667
10.02,687
11.14,667
3.46,717
9.47,662
21.31,672
11.91,677
19.37,697
3.46,712
1.67,787
8.56,687
2.84,717
1.67,742
19.37,672
9.47,707
3.46,662
1.67,762
1.11,737
11.14,722
15.89,677
2.21,737
10.02,737
21.31,677
8.56,707
2.21,747
2.84,722
8.56,687
1.67,792
11.91,667
15.89,697
11.14,697
8.56,677
1.11,677
11.14,697
20.34,717
12.97,672
8.56,697
11.14,712
2.84,712
1.11,787
11.91,702
2.21,812
3.46,732
1.67,682
11.14,682
10.02,672
8.56,677
1.67,787
3.46,747
14.92,687
3.46,697
10.02,682
17.35,692
10.02,672
17.35,677
8.56,672
8.56,677
11.14,717
11.14,667
8.56,672
10.02,692
17.35,677
2.21,767
8.56,697
12.97,662
9.47,687
8.56,677
1.11,722
14.92,682
9.47,667
11.91,662
1.11,697
2.84,782
11.91,722
1.67,702
1.67,732
8.56,712
18.4,682
9.47,692
3.46,722
1.67,682
2.21,717
5.47,722
1.11,692
13.94,667
9.47,672
11.14,692
2.21,682
22.27,712
12.97,692
19.37,742
3.46,682
10.02,707
10.02,667
13.94,697
1.11,722
1.67,707
1.67,737
11.14,667
3.46,662
1.11,682
9.47,692
2.21,722
18.4,662
11.91,707
11.91,687
2.21,777
5.47,682
3.46,662
1.11,767
2.84,727
5.65,737
8.87,717
18.73,692
6.74,697
8.46,697
12.06,672
4.65,722
13.89,707
11.08,687
3.66,717
16.47,672
11.02,667
18.42,672
5.65,737
4.37,727
12.4,732
8.87,697
7.12,742
6.51,732
6.74,762
18.73,667
15.8,697
14.74,667
8.74,697
13.57,672
4.65,707
11.17,677
12.06,677
5.34,767
4.65,762
17.75,687
8.87,687
13.24,722
12.55,687
10.3,677
4.65,782
4.65,722
4.37,832
5.65,717
9.24,662
14.02,672
7.89,722
15.88,662
18.49,662
14.02,677
8.61,717
7.13,712
20.66,672
4.24,787
8.87,707
7.13,752
14.19,662
14.02,702
18.24,667
14.55,682
7.89,727
9.73,672
6.74,717
11.08,692
5.34,757
8.24,707
6.91,717
11.08,682
12.55,667
6.66,732
4.65,727
9.86,687
13.04,687
15.0,707
10.84,697
15.78,697
5.65,717
8.58,737
14.02,667
12.06,672
9.87,672
3.51,792
7.58,702
14.52,667
4.65,727
9.81,712
4.37,762
14.52,682
8.87,692
13.24,697
7.87,727
5.65,812
10.84,677
4.26,752
9.86,687
13.04,667
4.37,767
12.56,672
11.1,677
11.71,677
3.37,752
2.74,767
7.89,737
16.47,667
15.5,672
9.86,702
4.65,707
3.37,742
18.23,692
7.4,722
4.37,767
2.78,717
9.86,712
10.84,692
10.84,712
4.65,777
2.78,817
2.92,747
10.74,662
12.55,692
7.74,712
6.91,727
10.84,677
2.78,767
4.41,737
15.8,702
5.65,737
7.89,692
5.24,762
11.96,682
16.47,697
11.4,677
11.08,702
7.49,697
12.45,677
6.51,732
13.07,667
10.82,677
10.84,682
6.66,727
13.15,662
3.37,807
2.54,747
6.63,742
12.74,702
6.51,722
20.03,662
6.38,737
9.86,702
7.89,707
9.86,727
14.02,662
4.26,737
10.86,727
11.08,707
18.24,672
5.65,722
7.5,717
13.44,707
10.73,712
7.66,692
8.23,707
10.24,687
15.0,662
14.52,667
3.67,747
4.65,742
11.08,667
6.91,697
13.04,682
5.65,702
9.28,717
12.06,712
12.02,722
11.98,667
7.89,702
9.86,687
5.65,727
8.87,687
18.03,682
7.13,752
4.65,802
7.89,742
4.37,732
7.89,722
11.08,702
4.65,697
9.44,697
6.91,702
15.8,672
2.78,747
13.64,677
5.34,742
15.24,662
9.44,732
9.86,747
12.55,702
15.8,677
16.22,667
5.65,732
2.92,747
7.34,757
8.23,792
4.63,727
10.84,672
12.55,667
11.58,687
4.75,752
6.75,717
10.73,702
5.69,752
4.65,732
4.65,757
8.87,692
9.86,692
4.65,737
5.65,702
10.84,692
10.84,677
14.52,667
9.86,732
6.91,707
9.86,682
7.89,762
7.4,727
12.06,687
8.87,712
19.22,667
4.65,722
15.42,662
2.78,752
8.87,712
4.26,732
21.64,667
8.87,692
12.06,672
16.66,662
11.08,672
17.52,667
10.84,667
9.59,752
9.86,722
10.42,682
6.91,687
3.74,762
15.24,702
13.04,697
4.49,752
13.04,682
3.37,752
5.34,792
7.5,742
5.24,717
8.87,712
4.65,727
5.69,762
4.24,732
7.78,687
6.91,707
13.64,672
11.1,677
10.84,672
12.32,702
11.34,667
13.04,667
2.74,752
11.4,722
4.65,732
7.74,802
6.37,807
17.25,682
4.37,732
3.66,727
14.52,697
12.06,692
6.91,697
7.11,717
14.02,667
12.02,672
14.24,667
14.52,687
8.29,672
9.44,717
7.49,717
10.74,722
12.55,667
3.37,782
13.24,707
9.81,692
13.04,672
14.24,707
15.5,677
8.46,687
14.02,677
7.11,732
12.06,682
12.55,672
2.78,752
8.46,747
10.87,657
16.74,692
10.84,692
3.37,777
5.65,752
9.67,667
15.42,662
6.63,732
3.37,802
7.13,757
4.65,792
11.08,687
6.66,752
15.8,697
9.86,687
4.65,772
4.65,707
4.65,797
9.74,717
7.89,687
14.52,667
11.02,707
17.24,662
11.08,742
8.46,682
6.66,732
2.78,787
8.74,757
16.47,667
12.71,667
17.24,662
10.84,687
7.21,682
16.47,702
10.97,672
2.54,732
12.06,672
12.06,712
8.87,712
7.13,757
2.54,782
8.24,717
6.91,712
15.8,687
8.87,692
19.22,662
2.17,787
4.65,722
8.87,722
12.06,712
19.53,677
7.86,692
13.79,687
9.36,677
12.55,677
7.74,692
15.0,692
2.74,792
6.37,712
8.87,677
10.24,762
11.4,672
6.91,717
4.65,742
14.52,677
9.86,697
9.81,712
13.24,712
14.92,687
19.53,692
7.34,737
15.8,662
4.18,802
12.06,712
3.37,742
9.86,737
10.84,692
14.52,662
2.17,772
7.5,757
6.91,712
19.7,667
9.86,702
9.86,707
2.78,792
13.52,687
13.45,692
11.66,717
16.17,707
10.86,702
10.74,727
8.87,692
5.65,722
9.86,692
7.0,722
10.84,687
12.06,667
7.4,702
12.06,682
15.5,672
16.47,682
11.08,672
11.08,692
5.65,702
3.37,782
8.46,777
4.04,737
9.04,687
2.78,757
5.65,717
4.65,732
13.04,682
19.22,672
9.86,687
3.37,752
8.87,707
9.86,682
7.12,677
12.55,667
12.71,697
19.22,692
12.56,702
9.86,702
6.91,702
3.66,732
5.65,717
12.55,692
11.4,677
10.84,727
4.04,732
12.55,737
11.08,687
9.86,672
9.86,687
7.89,717
6.66,707
13.24,692
9.43,697
4.65,717
13.04,712
7.13,737
2.54,762
8.87,717
10.6,707
6.91,727
6.75,732
12.06,677
15.5,697
15.8,662
3.66,762
11.4,682
6.74,732
6.91,732
9.17,707
6.91,722
4.65,707
10.84,687
17.75,672
6.66,732
4.37,732
12.06,687
11.96,702
10.86,677
12.06,667
9.62,722
11.08,727
15.24,702
9.86,672
6.38,782
14.02,727
4.65,722
15.8,662
9.86,702
9.86,687
7.74,732
11.08,682
13.38,682
9.86,742
19.7,672
6.51,782
7.13,732
10.42,692
12.06,697
20.03,662
15.0,667
14.24,697
8.74,682
8.46,687
15.8,692
6.91,677
10.84,667
8.46,722
16.47,667
7.87,717
8.87,692
11.59,707
8.72,707
14.18,677
4.65,727
16.47,677
9.86,692
12.06,672
12.75,727
8.96,702
12.06,672
12.02,682
14.02,672
8.87,702
14.52,682
10.24,692
13.07,687
10.84,677
6.74,747
8.87,682
8.87,687
9.91,672
10.84,737
4.65,732
6.91,692
8.96,727
7.89,762
7.49,747
7.0,777
8.11,712
3.89,762
8.87,717
6.75,717
2.78,752
9.04,702
3.51,757
11.59,672
12.71,667
2.78,752
12.06,672
12.55,677
8.87,682
7.89,672
6.07,777
14.52,667
14.52,662
19.22,667
13.04,677
11.96,682
5.65,682
9.81,672
4.24,732
13.04,707
4.37,742
10.74,687
14.52,672
7.5,722
15.37,687
9.44,677
11.4,727
3.37,742
7.89,717
17.75,672
4.41,702
10.93,687
7.89,687
15.8,662
10.73,722
10.84,672
11.4,712
8.64,742
13.89,682
6.51,742
19.22,667
4.65,712
9.86,687
14.02,672
10.84,697
5.69,722
2.92,772
6.91,707
15.24,672
18.86,692
8.24,732
9.74,687
10.84,692
7.34,697
4.04,727
8.46,732
13.52,677
16.47,682
4.37,722
12.06,692
12.06,667
8.87,692
13.52,662
12.56,682
10.24,687
6.51,697
15.5,692
4.26,737
6.91,762
3.74,752
4.26,792
8.93,742
7.89,722
12.71,662
6.91,702
11.08,702
9.86,682
8.87,692
7.74,702
11.98,672
4.63,782
12.06,667
9.86,702
7.49,707
17.28,677
12.82,687
9.28,687
15.8,692
4.65,802
13.04,727
9.86,692
5.65,752
7.89,702
2.17,792
7.4,687
7.4,722
14.74,677
9.17,707
15.5,682
3.37,737
9.28,707
10.73,677
2.78,742
4.26,757
7.87,707
6.51,712
8.87,702
6.38,787
13.04,692
9.17,672
11.08,712
4.65,722
7.49,702
12.06,697
6.91,722
10.1,712
14.02,697
8.58,717
15.0,727
4.26,737
10.42,712
7.12,677
8.46,677
8.87,712
5.38,732
4.65,732
3.37,722
11.45,642
6.75,702
10.84,682
3.66,737
10.74,722
9.86,677
8.87,692
4.41,727
12.03,722
8.87,732
5.65,712
11.08,762
3.29,797
13.52,662
15.78,682
8.87,697
4.65,737
14.24,672
7.49,687
6.91,707
11.08,692
15.0,697
10.1,667
15.97,682
2.78,747
11.4,687
12.7,667
2.92,747
13.04,677
8.24,727
4.65,727
6.74,712
4.65,727
10.23,692
10.86,672
7.74,697
4.65,722
4.49,787
15.24,677
14.02,697
11.08,687
20.08,667
10.84,662
12.33,702
14.33,692
10.47,667
9.86,702
7.37,722
10.18,672
8.58,727
6.66,707
15.8,692
7.84,747
12.2,642
4.65,707
15.97,667
13.64,667
10.84,677
2.78,782
15.0,692
15.5,667
14.52,667
10.42,677
12.06,682
15.3,662
5.65,717
7.89,712
9.86,672
4.37,777
11.08,682
8.87,667
14.52,667
9.86,677
16.47,712
12.33,697
9.44,682
14.02,712
7.89,717
10.24,672
4.24,717
8.87,697
14.52,672
17.75,687
15.24,697
11.08,677
11.47,697
9.86,682
2.92,772
3.74,737
10.74,717
8.01,722
14.02,667
10.84,687
12.06,682
11.08,672
18.24,677
12.55,672
14.02,727
18.24,662
9.28,702
14.65,677
7.89,707
9.86,692
4.65,722
20.51,667
12.06,682
10.86,677
18.73,682
12.06,672
10.84,682
15.8,687
10.24,682
13.52,692
7.49,722
11.4,667
6.66,732
18.72,672
11.4,682
14.02,667
15.24,662
9.28,707
9.86,692
9.44,722
5.65,702
4.65,707
7.4,722
4.65,712
12.08,662
9.74,712
12.74,667
7.34,747
13.04,712
12.06,747
13.64,662
6.91,732
7.0,732
9.86,672
6.66,732
14.02,707
5.24,732
19.53,667
8.46,702
14.02,672
9.86,747
15.3,672
10.22,702
10.74,727
10.74,702
12.02,672
18.23,667
8.93,747
6.51,712
11.96,672
10.6,722
16.44,707
13.04,682
8.23,717
9.86,737
6.38,792
6.83,757
7.0,752
14.02,682
11.08,672
15.24,662
13.52,687
15.78,672
7.89,727
2.78,782
10.42,692
8.61,707
12.06,687
11.66,722
13.04,662
9.73,667
12.06,682
12.12,677
7.11,767
7.87,702
5.65,702
4.24,732
6.66,727
14.02,662
10.84,712
7.89,702
3.37,792
7.87,777
8.24,692
3.74,747
10.74,732
20.03,677
10.22,692
12.43,682
4.04,742
17.25,672
8.24,782
4.65,812
13.64,702
10.42,697
14.02,672
8.46,722
4.65,767
7.37,762
7.78,682
9.86,677
9.86,687
7.11,722
11.08,677
3.37,767
13.1,667
9.43,692
11.95,677
12.06,682
7.89,702
7.74,722
15.8,737
11.34,707
2.78,752
8.87,702
11.47,662
3.37,772
20.51,662
8.87,717
15.8,677
3.37,742
13.64,697
3.29,727
7.13,782
5.65,707
5.65,747
11.02,737
11.02,667
9.86,672
12.03,702
14.02,672
4.26,787
8.87,707
3.37,742
4.65,747
3.89,767
9.86,682
9.86,697
15.5,697
8.58,707
10.42,732
11.08,692
2.78,772
4.37,727
9.28,727
11.08,717
12.08,672
15.24,672
11.34,692
10.5,667
2.17,782
10.84,687
6.07,782
10.74,677
7.89,672
14.74,677
13.04,737
3.29,732
4.65,722
8.87,677
12.55,677
14.52,667
12.06,672
9.48,677
16.47,687
7.86,702
4.37,737
3.89,752
4.65,772
16.66,672
4.82,762
15.39,677
5.65,732
8.87,707
8.58,732
16.49,662
7.89,687
11.08,712
12.06,697
4.41,742
6.74,697
5.65,762
8.87,682
7.34,722
9.59,672
4.65,712
4.37,722
8.87,687
10.24,677
9.36,677
10.22,692
11.98,732
10.74,712
10.36,697
10.97,682
3.37,732
13.07,702
8.64,697
7.49,702
9.86,742
12.7,707
2.54,767
8.46,727
8.46,757
8.87,702
7.11,692
15.0,662
9.86,712
4.65,722
8.46,707
8.87,667
6.91,712
5.07,752
9.86,697
12.06,672
8.87,712
8.87,702
4.37,767
9.44,727
7.74,702
6.91,767
15.5,667
10.84,697
10.23,712
11.08,702
10.18,747
11.98,707
11.08,677
11.98,762
19.7,687
8.93,742
2.78,792
11.8,677
7.87,752
4.5,762
8.87,692
14.02,672
9.44,712
19.22,662
14.02,662
9.44,667
4.41,727
13.04,697
15.0,687
4.65,757
12.71,682
17.52,672
13.07,697
5.38,732
3.37,762
